I am František!,Jsem František!
I am Matěj.,Já jsem Matěj.
I am Kateřina.,Já jsem Kateřina.
"Yes, I am Matěj.","Ano, já jsem Matěj."
"Good morning, I am Kateřina!","Dobré ráno, já jsem Kateřina!"
"No, I am Žofie.","Ne, já jsem Žofie."
I am a man.,Já jsem muž.
"Hi, I am Kateřina.","Ahoj, jsem Kateřina."
"No, I am Matěj.","Ne, Matěj jsem já."
I am a pretty child.,Jsem hezké dítě.
"Yes, I am Žofie.","Ano, jsem Žofie."
I am a child.,Já jsem dítě.
You are a child.,Jsi dítě.
Are you big?,Ty jsi velký?
You are František.,Ty jsi František.
You are Žofie.,Ty jsi Žofie.
You are pretty.,Jsi hezká.
You are a big boy!,Jsi velký kluk!
she,ona
She is Kateřina.,Ona je Kateřina.
He is Matěj.,On je Matěj.
The word is new.,To slovo je nové.
That is a bad word.,To je špatné slovo.
That is it!,To je ono!
"Yes, that's it!","Ano, to je ono!"
She is a child.,Ona je dítě.
"She is Kateřina, and he is Matěj.",Ona je Kateřina a on je Matěj.
He is handsome.,On je hezký.
"She is a woman, not a machine.","Ona je žena, ne stroj."
That's it.,To je ono.
It is a different word.,Je to jiné slovo.
That is a small child.,To je malé dítě.
That is a pretty child.,To je hezké dítě.
You are not an animal.,Nejsi zvíře.
I am not a woman.,Nejsem žena.
That city is not pretty.,To město není hezké.
The animal is young but big.,"To zvíře je mladé, ale velké."
I am not a child.,Nejsem dítě.
I am not František.,František nejsem.
You are not big.,Velký nejsi.
You are not old!,Nejsi stará!
I am not a machine!,Nejsem stroj!
But he is different.,Ale on je jiný.
She is not big but small.,"Není velká, ale malá."
"Matěj is bad, but František is different.","Matěj je špatný, ale František je jiný."
That is not a pretty city.,To není hezké město.
A tree is not a machine!,Strom není stroj!
"No, it is not.","Ne, není."
I am not a man.,Nejsem muž.
But a night is not a day.,Ale noc není den.
But that is not a tree.,Ale to není strom.
The tree is not small but big.,"Ten strom není malý, ale velký."
"He is not a bad man, but he is different.","Není špatný člověk, ale je jiný."
František is not a bad man.,František není špatný muž.
She is a pretty woman.,To je hezká žena.
Is that street not old?,Ta ulice není stará?
She is not bad.,Není špatná.
It is me!,Jsem to já!
Is that you?,To jsi ty?
Is it you?,Jsi to ty?
That is a different young woman.,To je jiná mladá žena.
That is a different sea.,To je jiné moře.
The child is big and the woman small.,Dítě je velké a žena malá.
Kateřina is a good and pretty woman!,Kateřina je dobrá a hezká žena!
Is the machine good?,Je ten stroj dobrý?
The little one is pretty.,Ta malá je hezká.
That man is young.,Ten muž je mladý.
